held_out_family,held_out_subtype,seed,score,n_train,n_calib,n_agg_features,best_feature,best_feature_auroc,best_feature_null_q95,best_feature_perm_p,auroc,auroc_lo,auroc_hi,mw_p,n_pos,n_neg,tpr_at_fpr,threshold_at_fpr,realised_fpr,threshold_q95,withheld_unseen_q95,withheld_seen_q95
sensor_fault,baro_stuck,0,iforest,70,70,32,frac_sensor_fault,1.0,0.7901253918495298,0.004975124378109453,0.0,0.0,0.0,1.4635067925027313e-06,29,11,0.0,0.584412127630716,0.0,0.5762979807909683,0.0,0.18181818181818182
sensor_fault,baro_stuck,0,one_minus_conf,70,0,32,frac_sensor_fault,1.0,0.7901253918495298,0.004975124378109453,0.03761755485893417,0.0,0.1187372770720879,8.480832328311249e-06,29,11,0.0,0.5106284835573345,0.0,,,
sensor_fault,baro_stuck,0,mahalanobis_pca10,70,70,32,frac_sensor_fault,1.0,0.7901253918495298,0.004975124378109453,1.0,1.0,1.0,1.4635067925027313e-06,29,11,1.0,37.402222636437905,0.0,21.587578964000357,1.0,0.18181818181818182
sensor_fault,baro_stuck,1,mahalanobis,70,70,32,frac_sensor_fault,1.0,0.7995297805642634,0.004975124378109453,1.0,1.0,1.0,1.4635067925027313e-06,29,11,1.0,61.9527911681572,0.0,770.7215413134057,0.9655172413793104,0.0
sensor_fault,baro_stuck,1,iforest,70,70,32,frac_sensor_fault,1.0,0.7995297805642634,0.004975124378109453,0.0,0.0,0.0,1.4635067925027313e-06,29,11,0.0,0.5716818238319353,0.0,0.6149041054875258,0.0,0.0
sensor_fault,baro_stuck,1,one_minus_conf,70,0,32,frac_sensor_fault,1.0,0.7995297805642634,0.004975124378109453,0.9310344827586207,0.8542358368302986,1.0,3.328109917954057e-05,29,11,0.6551724137931034,0.06391008537742737,0.0,,,
sensor_fault,baro_stuck,1,mahalanobis_pca10,70,70,32,frac_sensor_fault,1.0,0.7995297805642634,0.004975124378109453,1.0,1.0,1.0,1.4635067925027313e-06,29,11,1.0,26.863440059063752,0.0,135.39940728718543,0.9655172413793104,0.0
sensor_fault,baro_stuck,2,mahalanobis,70,70,32,frac_sensor_fault,1.0,0.786833855799373,0.004975124378109453,1.0,1.0,1.0,1.4635067925027313e-06,29,11,1.0,32.83012562236699,0.0,40.02586328750335,1.0,0.0
sensor_fault,baro_stuck,2,iforest,70,70,32,frac_sensor_fault,1.0,0.786833855799373,0.004975124378109453,0.0,0.0,0.0,1.4635067925027313e-06,29,11,0.0,0.5378890828286653,0.0,0.5439606799071498,0.0,0.0
sensor_fault,baro_stuck,2,one_minus_conf,70,0,32,frac_sensor_fault,1.0,0.786833855799373,0.004975124378109453,0.5893416927899686,0.39575139902133105,0.7829319865586062,0.39636670770919946,29,11,0.0,0.5127856407924688,0.0,,,
sensor_fault,baro_stuck,2,mahalanobis_pca10,70,70,32,frac_sensor_fault,1.0,0.786833855799373,0.004975124378109453,1.0,1.0,1.0,1.4635067925027313e-06,29,11,1.0,12.531362482306612,0.0,20.76463634659166,1.0,0.0
sensor_fault,mag_stuck,0,mahalanobis,69,69,32,frac_sensor_fault,1.0,0.7834310850439881,0.004975124378109453,1.0,1.0,1.0,1.1546383769991656e-06,31,11,1.0,45.23287463654305,0.0,97.43043122417839,1.0,0.0
sensor_fault,mag_stuck,0,iforest,69,69,32,frac_sensor_fault,1.0,0.7834310850439881,0.004975124378109453,0.0,0.0,0.0,1.1546383769991656e-06,31,11,0.0,0.5863406090185841,0.0,0.5921385813036809,0.0,0.0
sensor_fault,mag_stuck,0,one_minus_conf,69,0,32,frac_sensor_fault,1.0,0.7834310850439881,0.004975124378109453,0.2932551319648094,0.10185596977648409,0.4846542941531347,0.04522864430815088,31,11,0.0,0.1527714493568264,0.0,,,
sensor_fault,mag_stuck,0,mahalanobis_pca10,69,69,32,frac_sensor_fault,1.0,0.7834310850439881,0.004975124378109453,1.0,1.0,1.0,1.1546383769991656e-06,31,11,1.0,20.59429746927714,0.0,36.6341766216869,1.0,0.0
sensor_fault,mag_stuck,1,mahalanobis,69,69,32,frac_sensor_fault,1.0,0.7891495601173019,0.004975124378109453,1.0,1.0,1.0,1.1546383769991656e-06,31,11,1.0,46.95666460487905,0.0,834.4834407634592,0.967741935483871,0.0
sensor_fault,mag_stuck,1,iforest,69,69,32,frac_sensor_fault,1.0,0.7891495601173019,0.004975124378109453,0.005865102639296188,0.0,0.03829786028174883,1.5393968831465823e-06,31,11,0.0,0.537383505824741,0.0,0.626634475245009,0.0,0.0
sensor_fault,mag_stuck,1,one_minus_conf,69,0,32,frac_sensor_fault,1.0,0.7891495601173019,0.004975124378109453,0.5249266862170088,0.3258699583967192,0.7239834140372984,0.8189780179156821,31,11,0.03225806451612903,0.46864648023821665,0.0,,,
sensor_fault,mag_stuck,1,mahalanobis_pca10,69,69,32,frac_sensor_fault,1.0,0.7891495601173019,0.004975124378109453,1.0,1.0,1.0,1.1546383769991656e-06,31,11,1.0,11.249576261372704,0.0,134.22579317681593,1.0,0.0
sensor_fault,mag_stuck,2,mahalanobis,69,69,32,frac_sensor_fault,1.0,0.7800586510263929,0.004975124378109453,1.0,1.0,1.0,1.1546383769991656e-06,31,11,1.0,32.775082049575936,0.0,48.687462263611344,1.0,0.0
sensor_fault,mag_stuck,2,iforest,69,69,32,frac_sensor_fault,1.0,0.7800586510263929,0.004975124378109453,0.0,0.0,0.0,1.1546383769991656e-06,31,11,0.0,0.5569479011205688,0.0,0.5538907570121849,0.0,0.09090909090909091
sensor_fault,mag_stuck,2,one_minus_conf,69,0,32,frac_sensor_fault,1.0,0.7800586510263929,0.004975124378109453,0.3313782991202346,0.13462132432069263,0.5281352739197765,0.10296949848527148,31,11,0.0,0.5443669128195535,0.0,,,
sensor_fault,mag_stuck,2,mahalanobis_pca10,69,69,32,frac_sensor_fault,1.0,0.7800586510263929,0.004975124378109453,1.0,1.0,1.0,1.1546383769991656e-06,31,11,1.0,20.804736448657717,0.0,19.17156154666183,1.0,0.18181818181818182
